Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
Apple Inc.,AAPL,129.93,129.61,0.32,21.27,6.11,76874922,2.067T
Saudi Arabian Oil Company,2222.SR,32.1,32.2,-0.1,17.83,1.8,5222570,7.059T
Microsoft Corporation,MSFT,239.82,241.01,-1.19,25.81,9.29,21938472,1.788T
Alphabet Inc.,GOOG,88.73,88.95,-0.22,17.16,5.17,19169187,1.145T
Amazon.com Inc.,AMZN,84.0,84.18,-0.18,74.34,1.13,62401194,856.943B
Berkshire Hathaway Inc.,BRK-B,308.9,309.06,-0.16,59.29,5.21,3181447,681.776B
UnitedHealth Group Incorporated,UNH,530.18,529.88,0.3,25.98,20.41,1660343,495.373B
Johnson & Johnson,JNJ,176.65,177.56,-0.91,24.6,7.18,4187659,461.848B
Exxon Mobil Corporation,XOM,110.3,109.2,1.1,9.0,12.25,11328805,454.247B
Visa Inc.,V,207.76,208.06,-0.3,29.68,7.0,3926535,439.957B
Tencent Holdings Limited,TCEHY,42.36,43.29,-0.93,16.23,2.61,1503848,405.098B
JPMorgan Chase & Co.,JPM,134.1,133.22,0.88,11.32,11.85,9127550,393.342B
Tesla Inc.,TSLA,123.18,121.82,1.36,35.3,3.49,156403696,388.972B
Taiwan Semiconductor Manufacturing Company Limited,TSM,74.49,76.0,-1.51,13.45,5.54,7744158,386.311B
Walmart Inc.,WMT,141.79,142.15,-0.36,43.63,3.25,3701112,382.379B
NVIDIA Corporation,NVDA,146.14,146.03,0.11,39.19,3.73,30939190,364.181B
LVMH Moët Hennessy - Louis Vuitton Société Européenne,MC.PA,679.9,696.5,-16.6,25.79,26.36,272368,340.685B
The Procter & Gamble Company,PG,151.56,152.59,-1.03,26.27,5.77,4472882,359.152B
Eli Lilly and Company,LLY,365.84,367.02,-1.18,55.01,6.65,1367092,347.613B
Chevron Corporation,CVX,179.49,178.32,1.17,10.21,17.58,4990633,347.069B
Mastercard Incorporated,MA,347.73,348.21,-0.48,34.74,10.01,1498369,334.328B
The Home Depot Inc.,HD,315.86,320.41,-4.55,19.04,16.59,2556661,321.921B
Meta Platforms Inc.,META,120.34,120.26,0.08,11.16,10.78,19474004,319.888B
Nestlé S.A.,NESN.SW,107.14,108.26,-1.12,18.44,5.81,2427640,294.635B
Kweichow Moutai Co. Ltd.,600519.SS,1727.0,1719.0,8.0,36.41,47.43,2533312,2.169T
Novo Nordisk A/S,NVO,135.34,135.2,0.14,40.77,3.32,979888,304.501B
Samsung Electronics Co. Ltd.,005930.KS,55300.0,56600.0,-1300.0,0,0,10845060,371.685T
Pfizer Inc.,PFE,51.24,51.33,-0.09,9.82,5.22,11357673,287.626B
AbbVie Inc.,ABBV,161.61,162.56,-0.95,21.55,7.5,3633107,285.804B
Merck & Co. Inc.,MRK,110.95,110.82,0.13,18.4,6.03,5238454,281.303B
The Coca-Cola Company,KO,63.61,63.95,-0.34,27.9,2.28,7569915,275.082B
Bank of America Corporation,BAC,33.12,33.14,-0.02,10.48,3.16,27896667,265.703B
Roche Holding AG,ROG.SW,290.5,292.85,-2.35,16.42,17.69,709917,240.035B
PepsiCo Inc.,PEP,180.66,181.98,-1.32,25.85,6.99,3135291,248.897B
Broadcom Inc.,AVGO,559.13,557.81,1.32,21.12,26.47,1437725,233.653B
Alibaba Group Holding Limited,BABA,88.09,89.13,-1.04,117.45,0.75,11741293,233.222B
Oracle Corporation,ORCL,81.74,81.4,0.34,25.7,3.18,5306158,220.391B
ASML Holding N.V.,ASML,546.4,551.47,-5.07,37.02,14.76,703202,220.274B
