Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
HF Foods Group Inc.,HFFG,4.06,3.99,0.07,0,-6.584,13996,210.768M
Vidhi Specialty Food Ingredients Limited,VIDHIING.NS,360.7,354.1,6.6,52.14,6.92,31468,18.015B
Middlefield Banc Corp.,MBCN,27.4,27.68,-0.28,15.31,1.79,9283,163.526M
Humacyte Inc.,HUMA,2.11,2.08,0.03,0,-2.691,366775,217.336M
Atlas Technical Consultants Inc.,ATCX,5.15,5.18,-0.03,0,-1.17,118486,173.123M
CARE Ratings Limited,CARERATING.NS,606.9,594.0,12.9,22.72,26.71,186949,17.986B
ESSA Bancorp Inc.,ESSA,20.87,20.82,0.05,13.21,1.58,6825,218.943M
RGC Resources Inc.,RGCO,22.05,21.6,0.45,15.92,1.38,13403,184.915M
Plumas Bancorp,PLBC,37.05,36.42,0.63,12.39,2.99,4776,215.391M
Alto Ingredients Inc.,ALTO,2.88,2.85,0.03,0,-0.168,623619,209.665M
Ocular Therapeutix Inc.,OCUL,2.81,2.8,0.01,0,-2.562,1136100,215.275M
FURYU Corporation,6238.T,1089.0,1081.0,8.0,15.08,72.19,79600,29.795B
Limoneira Company,LMNR,12.21,12.47,-0.26,0,-0.84,55331,215.939M
Greenply Industries Limited,GREENPLY.NS,144.65,142.25,2.4,165.31,0.88,431652,17.759B
Arbe Robotics Ltd.,ARBE,3.41,3.3,0.11,0,-4.736,23798,211.882M
Quad/Graphics Inc.,QUAD,4.08,4.25,-0.17,0,-2.536,173797,222.832M
Southern Petrochemical Industries Corporation Limited,SPIC.NS,87.3,82.2,5.1,26.66,3.28,13494592,17.778B
Reconnaissance Energy Africa Ltd.,0XD.F,0.9474,0.809,0.14,0,-0.06,2688,177.757M
View Inc.,VIEW,0.9649,0.949,0.02,0,-2.926,523024,209.458M
Skillsoft Corp.,SKIL,1.3,1.3,0.0,0,-0.254,476462,173.114M
Nouveau Monde Graphite Inc.,NMG,3.82,3.85,-0.03,0,-0.812,33126,209.066M
Landsea Homes Corporation,LSEA,5.21,5.35,-0.14,9.81,0.53,41208,241.125M
Y-mAbs Therapeutics Inc.,YMAB,4.88,4.7,0.18,0,-2.975,179703,212.982M
Investar Holding Corporation,ISTR,21.53,21.51,0.02,12.39,1.74,3645,222.696M
Federal-Mogul Goetze (India) Limited,FMGOETZE.NS,315.75,311.4,4.35,205.97,1.53,35011,17.566B
Skillz Inc.,SKLZ,0.5065,0.5157,-0.01,0,-0.64,10630691,206.678M
