Company,Ticker,Market Cap,Price,Daily Change (%),Country
Apple,AAPL,2061000000000.0,129.61,2.83,USA
Saudi Aramco,2222.SR,1881000000000.0,8.55,0.31,Saudi Arabia
Microsoft,MSFT,1796000000000.0,241.01,2.76,USA
Alphabet (Google),GOOG,1148000000000.0,88.95,2.88,USA
Amazon,AMZN,858770000000.0,84.18,2.88,USA
Berkshire Hathaway ,BRK-B,681890000000.0,309.06,1.86,USA
UnitedHealth,UNH,495090000000.0,529.88,0.27,USA
Johnson & Johnson,JNJ,464220000000.0,177.56,0.51,USA
Exxon Mobil,XOM,449710000000.0,109.2,0.76,USA
Visa,V,440590000000.0,208.06,1.5,USA
Tencent,TCEHY,421540000000.0,43.29,5.41,China
TSMC,TSM,395580000000.0,76.0,4.02,Taiwan
JPMorgan Chase,JPM,390760000000.0,133.22,0.57,USA
Tesla,TSLA,384670000000.0,121.82,8.08,USA
Walmart,WMT,383350000000.0,142.15,0.61,USA
LVMH,MC.PA,370450000000.0,739.3,0.53,France
NVIDIA,NVDA,363900000000.0,146.03,4.04,USA
Procter & Gamble,PG,361590000000.0,152.59,0.41,USA
Eli Lilly,LLY,348730000000.0,367.02,0.49,USA
Chevron,CVX,344800000000.0,178.32,0.76,USA
Mastercard,MA,334780000000.0,348.21,1.83,USA
Home Depot,HD,326550000000.0,320.41,1.48,USA
Meta Platforms (Facebook),META,319670000000.0,120.26,4.01,USA
Nestlé,NESN.SW,318830000000.0,115.94,0.96,Switzerland
Kweichow Moutai,600519.SS,311050000000.0,247.62,0.47,China
Novo Nordisk,NVO,304180000000.0,135.2,1.24,Denmark
Samsung,005930.KS,293000000000.0,43.59,2.3,S. Korea
Pfizer,PFE,288130000000.0,51.33,1.04,USA
AbbVie,ABBV,287480000000.0,162.56,0.2,USA
Merck,MRK,280970000000.0,110.82,0.23,USA
Coca-Cola,KO,276550000000.0,63.95,0.6,USA
Bank of America ,BAC,265860000000.0,33.14,1.13,USA
Roche,ROG.SW,260769999999.99997,315.69,0.31,Switzerland
Pepsico,PEP,250710000000.0,181.98,0.13,USA
Alibaba,BABA,243380000000.0,89.13,2.21,China
